Legionella pneumophila subsp. fraseri	0.9367	0.9226	0.01346	1.048
Legionella fairfieldensis	0.9151	0.9230	0.01355	0.5830
Legionella pneumophila subsp. pneumophila	0.9340	0.9227	0.01350	0.8370
Legionella cardiaca	0.9211	0.9229	0.01358	0.1325
Legionella rubrilucens	0.9231	0.9229	0.01359	0.01472
Legionella norrlandica	0.9263	0.9228	0.01358	0.2577
Legionella jamestowniensis	0.9031	0.9232	0.01332	1.509
Legionella shakespearei	0.9119	0.9231	0.01350	0.8296
Legionella moravica	0.9194	0.9229	0.01358	0.2577
Legionella erythra	0.9273	0.9228	0.01357	0.3316
Legionella busanensis	0.9220	0.9229	0.01359	0.06623
Legionella gresilensis	0.9225	0.9229	0.01359	0.02943
Legionella quinlivanii	0.9098	0.9231	0.01347	0.9874
Legionella nagasakiensis	0.9114	0.9231	0.01350	0.8667
Legionella tunisiensis	0.9273	0.9228	0.01357	0.3316
Legionella israelensis	0.8956	0.9234	0.01308	2.125
Legionella saoudiensis	0.9340	0.9227	0.01350	0.8370
Legionella drancourtii	0.9237	0.9229	0.01359	0.05887
Legionella drozanskii	0.9186	0.9229	0.01357	0.3169
Legionella maceachernii	0.9140	0.9230	0.01353	0.6652
Legionella lansingensis	0.8843	0.9236	0.01255	3.131
Legionella tucsonensis	0.9271	0.9228	0.01357	0.3169
Legionella quateirensis	0.9117	0.9231	0.0135	0.8444
Legionella steigerwaltii	0.9310	0.9227	0.01354	0.6130
Legionella adelaidensis	0.9208	0.9229	0.01358	0.1546
Legionella steelei	0.9334	0.9227	0.01351	0.7920
Legionella thermalis	0.8966	0.9233	0.01312	2.035
Legionella yabuuchiae	0.9111	0.9231	0.01349	0.8895
Legionella massiliensis	0.9291	0.9228	0.01356	0.4646
Legionella feeleii	0.9173	0.9230	0.01356	0.4204
Legionella sainthelensi	0.9272	0.9228	0.01357	0.3242
Legionella rowbothamii	0.9275	0.9228	0.01357	0.3464
Legionella parisiensis	0.9358	0.9226	0.01347	0.9800
Legionella anisa	0.9368	0.9226	0.01346	1.055
Legionella micdadei	0.9122	0.9231	0.01351	0.8068
Legionella longbeachae	0.9349	0.9227	0.01349	0.9044
Legionella wadsworthii	0.9316	0.9227	0.01353	0.6578
Legionella jordanis	0.9213	0.9229	0.01358	0.1178
Legionella impletisoli	0.9210	0.9229	0.01358	0.1399
Legionella geestiana	0.8912	0.9234	0.01290	2.496
Legionella pneumophila subsp. pascullei	0.9388	0.9226	0.01341	1.208
Legionella cincinnatiensis	0.9277	0.9228	0.01357	0.3611
Legionella dresdenensis	0.9353	0.9226	0.01348	0.9421
Legionella nautarum	0.9225	0.9229	0.01359	0.02943
Legionella birminghamensis	0.9231	0.9229	0.01359	0.01472
Legionella gratiana	0.9321	0.9227	0.01353	0.6948
Legionella brunensis	0.9235	0.9229	0.01359	0.04415
Legionella oakridgensis	0.9020	0.9232	0.01329	1.595
Legionella lytica	0.9277	0.9228	0.01357	0.3611
Legionella londiniensis	0.9098	0.9231	0.01347	0.9874
Legionella worsleiensis	0.9297	0.9227	0.01355	0.5166
Legionella taurinensis	0.9267	0.9228	0.01358	0.2872
Legionella cherrii	0.9407	0.9225	0.01337	1.361
Legionella beliardensis	0.9182	0.9230	0.01357	0.3537
Legionella dumoffii	0.9558	0.9223	0.01284	2.609
Legionella waltersii	0.9466	0.9224	0.01320	1.833
Legionella fallonii	0.9444	0.9225	0.01327	1.650
